28,31,17,39,30,27,9,32,14,35,12,29,45,32,18,32,34,42,20,21,33,14,32,28,11,41,31,8,47,9,36,19,17,46,38,38,17,19,35,39,23,25,33,13,36,26,41,37,28,30
28,7,38,29,14,20,39,16,41,16,30,31,5,7,28,19,21,17,38,33,34,21,22,27,8,20,27,43,14,37,22,22,25,42,32,26,38,7,37,23,41,33,48,12,33,34,36,34,21,24
29,16,25,39,28,21,27,12,28,28,44,25,26,33,24,22,20,20,19,18,22,36,32,32,11,11,19,40,19,36,16,25,11,44,32,35,17,40,22,20,29,27,31,26,33,39,15,26,16,22
39,34,31,6,26,25,15,21,19,41,9,41,24,10,38,34,34,33,47,36,26,32,24,32,3,26,35,28,26,17,46,21,18,24,37,31,31,14,24,32,18,4,18,36,27,52,29,6,23,34
14,25,31,18,9,25,26,48,29,47,3,38,20,22,20,28,26,21,42,25,26,22,21,12,35,13,14,23,28,22,26,40,5,30,25,33,8,19,34,24,35,10,6,15,14,28,44,18,32,43
45,8,15,21,39,36,9,25,30,27,17,18,46,5,33,32,20,29,19,27,25,25,39,28,36,10,13,19,16,33,14,44,33,18,24,20,42,40,29,19,41,14,26,13,28,27,25,16,5,26
15,36,29,37,26,25,39,30,24,27,9,29,19,12,28,21,18,26,29,10,22,28,10,32,30,17,36,20,17,36,34,41,33,9,46,31,43,43,33,35,21,22,17,30,28,31,51,23,31,41
34,24,14,15,24,22,19,26,16,27,32,31,9,33,13,26,30,34,14,33,22,29,34,39,24,20,30,22,23,29,31,16,40,36,32,11,18,30,28,22,26,38,24,25,22,20,32,20,22,25
22,15,47,33,27,41,25,37,24,14,23,32,37,30,33,28,38,32,41,41,34,30,37,20,12,41,11,26,20,28,39,28,30,41,16,51,23,37,34,27,26,18,25,47,23,10,11,15,44,34
37,36,19,26,35,37,26,31,40,31,23,23,8,44,30,50,17,24,16,11,29,32,33,29,24,24,10,24,34,36,13,16,16,16,34,32,29,40,24,16,17,31,25,29,37,37,10,15,7,20
30,26,18,26,20,29,29,29,37,29,30,15,37,26,10,20,22,26,25,19,12,31,34,40,23,31,28,20,24,32,45,33,12,10,21,33,26,31,28,27,46,46,37,35,34,31,20,25,13,5
44,23,46,26,26,37,8,27,14,33,42,30,24,33,27,31,45,24,27,18,39,25,34,3,24,31,29,43,26,22,42,46,37,28,35,47,24,39,25,22,34,43,48,43,5,41,28,42,36,14
5,35,25,31,34,21,29,20,48,26,26,32,19,23,49,26,29,30,33,19,26,28,26,29,22,28,17,20,23,27,45,34,26,8,36,9,27,25,33,14,42,20,37,30,25,35,31,23,18,18
18,45,14,24,6,26,3,21,48,23,34,39,36,22,37,26,21,17,16,38,37,25,37,16,20,24,21,13,16,29,19,15,22,6,26,21,16,31,22,34,27,32,28,19,34,40,41,18,29,36
27,25,28,29,6,39,16,22,10,34,16,26,33,19,14,23,11,29,22,12,36,29,20,31,18,20,21,26,34,26,14,21,34,18,31,39,36,25,28,27,37,22,37,41,16,30,33,26,43,25
14,39,17,24,47,26,22,25,7,30,38,40,39,18,35,32,46,4,26,36,36,23,29,38,26,19,25,27,44,15,22,27,19,28,10,22,19,41,48,35,14,20,33,34,22,13,34,9,18,18
31,16,26,40,24,17,35,24,20,25,27,26,37,23,42,11,39,6,38,32,14,25,22,21,21,17,39,25,16,22,38,36,39,31,21,20,17,23,21,29,26,40,17,8,12,17,13,11,18,18
30,15,26,18,44,45,35,23,14,14,8,31,34,43,36,40,40,30,16,33,18,7,16,18,27,31,35,27,42,31,36,52,18,6,25,5,8,27,34,35,14,23,39,3,39,14,26,38,35,28
31,20,26,25,22,26,7,9,3,22,23,44,40,18,16,43,40,29,20,26,22,14,28,24,33,36,42,34,35,22,23,27,22,20,42,32,15,33,30,42,28,17,26,16,39,34,38,40,23,16
25,46,19,30,16,39,39,35,21,26,19,43,26,31,11,43,41,26,37,16,27,39,42,38,28,42,10,21,40,38,27,22,38,26,26,15,23,18,5,20,36,19,29,40,32,20,8,32,31,27
23,10,33,8,33,10,33,37,24,24,20,51,30,21,22,7,39,38,24,31,23,42,37,27,35,41,46,21,45,27,24,31,23,11,33,30,18,20,41,19,6,23,35,29,36,26,26,26,22,29
29,26,15,34,39,29,9,9,25,47,19,21,17,30,16,32,28,17,31,45,49,24,42,20,28,20,10,22,39,3,21,30,20,32,27,12,23,35,28,26,17,31,33,25,32,5,14,12,31,33
10,36,23,19,28,10,22,23,31,24,34,30,30,38,6,9,22,46,19,42,29,24,10,38,7,21,31,41,47,33,39,14,21,18,35,14,16,26,19,16,23,20,43,32,43,36,17,46,25,10
44,42,28,45,35,32,29,42,45,20,20,25,34,26,30,20,28,24,8,32,26,39,37,30,26,23,34,40,33,19,23,30,17,20,34,16,18,37,37,19,21,29,24,11,31,17,17,35,27,21
19,23,8,22,35,52,15,19,22,27,41,19,31,12,49,31,8,27,20,26,43,22,26,22,28,27,25,20,27,34,25,9,22,35,40,28,36,41,8,27,17,29,19,17,23,41,42,33,34,20
25,27,38,7,13,30,31,32,29,31,26,11,15,38,27,28,37,44,28,21,31,25,28,31,36,26,15,30,26,30,25,20,38,42,38,9,34,13,22,19,26,6,44,7,34,30,31,32,17,13
24,12,48,19,41,36,13,16,22,10,21,45,34,20,11,21,24,20,49,13,27,36,34,12,26,12,45,23,21,6,12,20,27,14,32,9,31,32,5,22,15,22,38,25,29,34,11,11,6,43
36,46,47,16,20,20,28,24,25,33,28,5,11,23,11,26,43,28,15,25,35,23,30,19,13,47,33,24,42,30,19,10,28,39,30,28,46,20,45,27,36,24,37,43,11,20,36,40,8,22
40,23,13,40,25,53,27,26,35,26,18,31,22,35,19,30,34,36,28,27,30,18,16,26,38,36,23,39,52,34,30,16,38,39,32,12,20,24,39,36,30,37,27,35,30,31,21,16,29,30
20,16,41,32,29,25,27,23,21,25,30,29,34,8,25,13,40,39,35,33,32,27,9,36,13,14,48,24,27,15,10,22,44,19,27,37,33,43,7,23,14,47,26,44,43,21,25,37,21,40
20,43,15,20,31,15,21,26,30,15,20,25,22,22,48,28,12,33,5,30,42,14,36,39,24,34,45,16,21,27,45,29,31,38,41,21,23,31,38,24,36,3,42,23,31,24,33,18,13,7
26,45,32,29,30,31,5,35,23,19,24,26,22,21,28,21,28,43,19,24,32,15,38,14,26,32,39,5,13,20,18,25,17,33,15,22,24,12,29,19,28,23,32,40,33,47,26,45,21,21
38,16,43,30,41,19,36,23,17,25,10,14,34,29,6,47,18,32,18,37,33,29,39,28,29,37,26,27,15,3,22,24,17,45,4,38,24,30,32,41,45,8,37,34,28,14,12,20,31,27
23,24,26,31,39,26,19,15,36,17,15,39,25,10,8,33,26,23,40,18,22,19,23,34,20,13,41,26,15,36,21,9,39,34,34,20,12,12,21,30,18,39,29,29,39,18,19,9,38,35
25,23,21,19,10,19,25,11,16,13,42,31,11,46,50,26,27,17,20,29,10,25,21,24,13,27,32,45,32,24,16,29,32,32,18,32,32,19,10,35,19,42,13,41,31,25,30,43,24,25
24,23,20,22,41,28,21,30,12,41,36,39,25,40,24,29,16,12,22,19,17,24,24,31,20,25,10,29,9,42,37,22,43,36,41,46,33,32,14,24,13,22,30,31,39,20,33,18,29,23
24,41,38,29,47,6,16,27,34,28,38,8,41,19,28,30,7,29,19,23,28,16,15,17,25,38,27,33,44,44,5,33,30,27,40,27,28,31,27,44,19,24,34,14,28,15,16,15,30,26
26,47,18,21,23,32,12,35,29,24,23,26,22,46,17,32,21,32,39,27,24,23,25,34,22,15,12,20,21,31,24,13,20,6,16,30,29,36,39,29,9,47,14,24,28,20,26,21,24,35
29,14,12,11,23,21,26,18,22,26,34,26,26,33,24,6,39,24,27,29,11,32,47,45,26,38,18,20,38,28,24,38,37,30,18,34,32,26,27,35,14,14,37,23,18,39,24,23,12,45
35,35,12,25,25,21,17,27,36,32,17,32,17,6,46,31,23,17,20,44,23,7,33,29,22,5,36,19,22,35,27,12,15,27,18,44,22,35,27,42,22,19,32,39,29,14,34,27,21,14
34,15,38,47,30,21,44,32,17,17,20,46,13,42,22,26,21,44,31,18,20,42,10,19,20,14,16,26,28,2,21,40,23,22,22,36,18,10,38,29,27,35,18,22,11,37,27,9,10,32
34,27,28,17,24,38,18,25,15,11,31,20,23,29,38,39,26,47,8,24,24,36,13,7,29,36,46,8,31,29,33,21,25,15,44,20,27,15,34,44,46,18,38,28,41,29,22,45,32,29
2,22,37,15,36,38,20,14,15,26,13,24,25,20,27,27,37,20,40,16,26,35,17,30,30,27,25,28,28,8,29,40,9,24,48,35,13,46,32,6,11,24,10,34,17,20,34,34,39,28
42,25,14,16,39,29,12,21,30,39,11,29,16,11,24,28,24,29,30,37,23,6,36,31,17,32,7,23,36,27,9,38,32,25,27,18,29,25,14,26,11,20,36,12,26,33,27,28,9,25
34,18,32,37,34,18,32,29,41,15,16,34,29,22,6,3,11,26,17,13,28,25,17,13,17,15,42,40,9,14,24,14,29,45,23,46,27,34,27,25,34,32,36,19,47,10,37,21,45,23
30,27,14,26,19,38,33,27,9,28,26,32,23,38,29,23,27,25,21,39,29,7,41,36,34,30,30,25,17,21,29,16,21,24,26,19,36,33,36,28,37,17,34,34,31,12,24,30,23,25
